rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
3,Webb Institute,New-York,80800,141800,,100
3,California Institute of Technology,California,84100,151600,53.0,97
1,Rose-Hulman Institute of Technology,Indiana,75000,135800,51.0,96
1,Colorado School of Mines,Colorado,75600,139600,60.0,93
1,South Dakota School of Mines and Technology,South-Dakota,66500,118500,58.0,92
1,New Mexico Institute of Mining and Technology,New-Mexico,64700,120400,61.0,91
2,Capitol Technology University,Maryland,67400,118400,63.0,88
3,Worcester Polytechnic Institute,Massachusetts,73600,135500,47.0,86
1,Harvey Mudd College,California,88800,158200,55.0,85
2,Michigan Technological University,Michigan,65000,116300,47.0,81
1,Missouri University of Science and Technology,Missouri,67300,122600,50.0,80
1,Georgia Institute of Technology-Main Campus,Georgia,72700,133400,48.0,80
1,Stevens Institute of Technology,New-Jersey,75100,139900,47.0,79
6,Rensselaer Polytechnic Institute,New-York,71300,134100,49.0,78
3,New Jersey Institute of Technology,New-Jersey,64600,121300,51.0,75
1,Kettering University,Michigan,69900,125000,44.0,74
1,Milwaukee School of Engineering,Wisconsin,65700,117600,50.0,69
1,Massachusetts Institute of Technology,Massachusetts,86300,155200,52.0,69
2,United States Coast Guard Academy,Connecticut,67300,118100,68.0,69
1,Carnegie Mellon University,Pennsylvania,75900,136100,45.0,66
